COD_ITEM        MetEst
050.001.004     0 
003.000.017     0 
230.001.012     192 
011.001.006     1.920 
325.012.002     16 
325.044.001     0 
228.001.001     96 
228.001.010     0 
228.001.006     0 
021.001.023     96 
325.019.002     0 
311.002.002     0 
056.002.001     0 
230.001.013     0 
311.001.021     0 
315.002.001     0 
001.000.020     0 
306.001.002     3.040 
012.001.002     1.040 
325.016.003     0 
021.001.107     0 
012.001.004     0 
021.001.074     0 
030.001.001     0 
005.000.082     0 
005.000.064     992 
303.006.001     0 
325.053.001     16 
325.010.001     0 
302.004.001     4.480 
021.001.103     0 
001.000.017     0 
100.001.001     32 
325.009.001     0 
325.009.002     0 
228.001.008     16 
228.001.007     32 
005.000.016     0 
055.001.002     240 
303.007.005     0 
055.001.001     272 
325.017.001     0 
305.002.007     0 
079.001.003     0 
325.047.001     0 
021.001.113     0 
325.053.002     16 
325.004.005     0 
230.001.018     16 
021.001.028     0 
325.052.001     0 
325.046.001     0 
325.028.005     0 
021.001.091     0 
021.001.090     1.296 
325.001.001     48 
325.004.001     0 
313.001.003     0 
311.002.009     0 
311.002.001     0 
306.001.004     0 
005.000.068     2.032 
302.004.006     0 
325.016.002     0 
230.001.015     0 
311.001.002     0 
230.001.017     0 
325.004.003     0 
311.002.004     0 
325.002.002     0 
325.004.004     1.392 
325.027.002     560 
325.030.001     3.200 
325.029.002     32 
301.001.002     0 
325.016.011     688 
325.040.002     1.248 
325.042.001     1.600 
325.042.005     448 
021.001.097     0 
002.000.138     272 
002.000.137     48 
002.000.110     64 
002.000.106     3.200 
002.000.122     1.216 
002.000.111     1.008 
302.008.003     224 
002.000.114     3.200 
021.001.115     0 
022.001.006     0 
002.000.105     1.600 
002.000.113     3.200 
002.000.083     4.800 
002.000.116     800 
002.000.086     1.600 
002.000.085     0 
002.000.092     192 
002.000.088     352 
022.001.001     192 
002.000.143     144 
002.000.103     240 
005.000.048     144 
002.000.090     176 
002.000.091     320 
022.001.016     0 
005.000.053     48 
041.001.005     0 
009.000.005     96 
325.016.004     0 
002.000.093     0 
002.000.048     192 
304.002.002     256 
306.001.003     2.320 
002.000.094     0 
030.001.008     0 
302.008.002     0 
325.029.001     16 
325.033.002     32 
325.037.001     0 
005.000.093     16 
002.000.109     0 
002.000.108     0 
005.000.044     64 
021.001.057     0 
005.000.045     80 
005.000.091     0 
008.001.009     0 
002.000.084     0 
002.000.087     48 
005.000.090     16 
005.000.047     64 
005.000.046     0 
005.000.056     48 
005.000.060     16 
001.001.001     0 
005.000.036     48 
021.001.053     0 
001.000.015     16 
008.001.006     16 
005.000.102     64 
005.000.054     0 
005.000.049     32 
005.000.098     80 
005.000.059     0 
005.000.061     16 
005.000.062     16 
005.000.079     48 
001.001.007     128 
005.000.050     0 
005.000.051     208 
008.001.003     16 
005.000.055     16 
002.000.095     16 
321.002.001     48 
001.001.006     80 
005.000.052     976 
321.003.001     8.400 
321.003.005     0 
313.004.005     16 
321.003.002     48 
321.003.007     0 
321.003.003     0 
021.001.116     0 
321.003.006     0 
321.001.191     1.920 
321.001.222     0 
321.001.230     32 
321.001.457     0 
008.001.010     32 
321.001.392     0 
023.001.002     0 
023.001.003     0 
335.001.001     0 
021.001.066     5.120 
021.001.068     1.584 
021.001.069     1.168 
320.002.004     1.744 
021.001.106     384 
301.002.004     240 
301.002.003     160 
301.002.005     544 
325.005.002     1.472 
003.000.006     1.088 
003.000.004     80 
325.005.003     128 
003.000.005     32 
003.000.007     112 
300.001.002     400 
300.001.004     1.120 
300.001.003     416 
005.000.063     2.880 
300.001.005     624 
